ID
"Aguardando Autorização"
"Em Reparo"
"Pendente de Reparo - Aguardando Chegada de Componente"
"Pendente de Reparo - Aguardando Orçamento"
"Equipamento Não Recebido Fisicamente - Verificando com Transporte"
"Equipamento Não Recebido Fisicamente - Verificando com Operador Logistico"
"Reparado - Limpeza"
"Reparado - Troca de componente"
"Reparado - Solda / Ressolda"
"Reparado - Reset de Software"
"Reparo não realizado - Falta de Componente na Reparadora"
"Reparo não realizado - Falta de Componente no Mercado"
"Reparo não realizado - Falta de Capacidade Técnica"
"Reparo não realizado - Inviabilidade Técnica"
"Reparo não realizado - Inviabilidade Econômica"
"Reparo não realizado - Não Aprovado Financeiramente"
"Irreparável - Oxidação"
"Irreparável - Infiltração"
"Irreparável - Corrosão"
"Irreparável - Carbonização"
"Irreparável - Dano mecânico"
"Irreparável - Mau uso"
